,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
5,Cabin,0,0,0,0,0,0,0,0
8,Ticket_Count,0.003358106,0.515021873,0,0,0,0,0,0
2,Age,0.029960302,0.510487354,0,0,0,0,0,0
4,Embarked,0.048385379,0.486274171,0,0,0,0,0,0
7,FamilySizePlus,0.059216289,0.497837608,0,0,0,0,0,0
3,Fare,0.076223699,0.495995653,0.004301598,-0.007638734,0.015641953,0.019721126,0,0
1,Sex,0.138699617,0.498859138,0,0,0,0,0,0
0,Pclass,0.165696061,0.498857338,0,0,0,0,0,0
6,Title,0.478460547,0.503147807,-0.074158715,0.163341676,0.091575483,0.175743693,0,0.100186979
